metric,auc,raw_auc,dense_needed_direction,gmean,tpr,fpr,routed_accuracy,dense_fraction,accuracy_gap_vs_dense,best_routed_accuracy_any_threshold,best_routed_dense_fraction,best_routed_accuracy_dense_le_60,best_routed_dense_fraction_dense_le_60,best_routed_accuracy_dense_le_75,best_routed_dense_fraction_dense_le_75,accuracy_at_min_dense_fraction_for_87p5,min_dense_fraction_for_87p5_accuracy,note
sparse_prefix_nonzero_classes,0.5096618357487923,0.5096618357487923,higher,0.1390096093713831,1.0,0.9806763285024155,0.8977272727272727,0.9848484848484849,-0.0037878787878787845,0.8977272727272727,0.9848484848484849,-1.0,0.0,-1.0,0.0,0.8977272727272727,0.9848484848484849,Model-assisted prefix metric. Uses sparse model on first 400 ms; not a pure input-complexity metric.
eventcloud_linearity,0.5091956945503856,0.4908043054496144,lower,0.4978128279403869,0.5964912280701754,0.5845410628019324,0.821969696969697,0.5871212121212122,0.0719696969696969,0.8939393939393939,0.9431818181818182,0.821969696969697,0.5871212121212122,0.8598484848484849,0.7462121212121212,0.875,0.8257575757575758,
time_burstiness,0.5070768709212645,0.4929231290787354,lower,0.5446423671336592,0.49122807017543857,0.3961352657004831,0.8143939393939394,0.4166666666666667,0.07954545454545447,0.8977272727272727,0.9621212121212122,0.8257575757575758,0.5189393939393939,0.8522727272727273,0.7462121212121212,0.875,0.8863636363636364,
q1_count,0.506525976777693,0.506525976777693,higher,0.5191477300578377,0.5263157894736842,0.48792270531400966,0.8068181818181818,0.4962121212121212,0.08712121212121215,0.8939393939393939,0.9886363636363636,0.8295454545454546,0.5946969696969697,0.8522727272727273,0.75,0.875,0.8484848484848485,
transition_10ms_active,0.5063564708873634,0.5063564708873634,higher,0.13213291302305402,0.017543859649122806,0.004830917874396135,0.7234848484848485,0.007575757575757576,0.17045454545454541,0.8939393939393939,1.0,0.7234848484848485,0.007575757575757576,0.7234848484848485,0.007575757575757576,0.8939393939393939,1.0,
timeline_10ms_lzc,0.5063564708873634,0.5063564708873634,higher,0.13213291302305402,0.017543859649122806,0.004830917874396135,0.7234848484848485,0.007575757575757576,0.17045454545454541,0.8939393939393939,1.0,0.7234848484848485,0.007575757575757576,0.7234848484848485,0.007575757575757576,0.8939393939393939,1.0,
latest_seen_fraction,0.5025849648275277,0.5025849648275277,higher,0.5408164325941643,0.5087719298245614,0.4251207729468599,0.8143939393939394,0.4431818181818182,0.07954545454545447,0.8939393939393939,0.9962121212121212,0.8181818181818182,0.5189393939393939,0.8371212121212122,0.7007575757575758,0.875,0.9204545454545454,
center_edge_ratio,0.5019069412662089,0.5019069412662089,higher,0.537594217800117,0.543859649122807,0.46859903381642515,0.8143939393939394,0.48484848484848486,0.07954545454545447,0.8939393939393939,0.9962121212121212,0.8181818181818182,0.5946969696969697,0.8484848484848485,0.7196969696969697,0.875,0.9545454545454546,
vca_lite_fft_highfreq_max,0.501313670650055,0.501313670650055,higher,0.48627226633843323,0.543859649122807,0.5652173913043478,0.8106060606060606,0.5606060606060606,0.08333333333333337,0.8939393939393939,0.9696969696969697,0.8106060606060606,0.5492424242424242,0.8598484848484849,0.7196969696969697,0.875,0.821969696969697,
spatial_active_4x4,0.5012289177048902,0.5012289177048902,higher,0.529172685259402,0.49122807017543857,0.42995169082125606,0.7992424242424242,0.4431818181818182,0.09469696969696972,0.8939393939393939,1.0,0.7992424242424242,0.4431818181818182,0.8333333333333334,0.7386363636363636,0.875,0.9659090909090909,
q2_ones,0.5010594118145606,0.49894058818543946,lower,0.5178400510790643,0.49122807017543857,0.45410628019323673,0.803030303030303,0.4621212121212121,0.09090909090909094,0.8977272727272727,0.9886363636363636,0.8181818181818182,0.5984848484848485,0.8560606060606061,0.75,0.875,0.8333333333333334,
